MAR;Morocco;W1211
MCO;Monaco;XXX
MDA;Moldova, Rep. of;W1123
MDG;Madagascar;W1321
MDV;Maldives;XXX
MEX;Mexico;W2103
MHL;Marshall Islands;XXX
MKD;Macedonia, TFYR;W1122
MLI;Mali;W1332
MLT;Malta;W1113
MMR;Myanmar;W3122
MNE;Montenegro;XXX
MNG;Mongolia;W3112
MOZ;Mozambique;W1342
MRT;Mauritania;W1332
MUS;Mauritius;W1321
MWI;Malawi;W1342
MYS;Malaysia;W3222
NAM;Namibia;W1342
NER;Niger;W1332
NGA;Nigeria;W1331
NIC;Nicaragua;W2212
NLD;Netherlands;W1112
NOR;Norway;W1111
NPL;Nepal;W3122
NRU;Nauru;XXX
NZL;New Zealand;W3232
OMN;Oman;W1222
PAK;Pakistan;W3122
PAN;Panama;W2212
PER;Peru;W2213
PHL;Philippines;W3222
PLW;Palau;XXX
PNG;Papua New Guinea;W3222
POL;Poland;W1121
PRK;North Korea;W3112
PRT;Portugal;W1113
PRY;Paraguay;W2222
PSE;Palestine, State of;XXX
QAT;Qatar;W1222
ROU;Romania;W1122
RUS;Russian Federation;W1124
RWA;Rwanda;W1321
SAU;Saudi Arabia;W1222
SDN;Sudan;W1321
SEN;Senegal;W1332
SGP;Singapore;W3222
SLB;Solomon Islands;XXX
SLE;Sierra Leone;W1332
SLV;El Salvador;W2212
SMR;San Marino;XXX
SOM;Somalia;W1321
SRB;Serbia;XXX
SSD;South Sudan;XXX
STP;Sao Tome and Principe;XXX
SUR;Suriname;W2213
SVK;Slovakia;W1121
SVN;Slovenia;W1121
SWE;Sweden;W1111
SWZ;Swaziland;W1342
SYC;Seychelles;XXX
SYR;Syrian Arab Republic;W1212
TCD;Chad;W1312
TGO;Togo;W1332
THA;Thailand;W3133
TJK;Tajikistan;W1221
TKM;Turkmenistan;W1221
TLS;Timor-Leste;XXX
TON;Tonga;XXX
TTO;Trinidad and Tobago;W2212
TUN;Tunisia;W1211
TUR;Turkey;W1122
TUV;Tuvalu;XXX
TWN;Taiwan;W3212
TZA;Tanzania, U. Rep. of;W1342
UGA;Uganda;W1321
UKR;Ukraine;W1123
URY;Uruguay;W2222
USA;United States;W2102
UZB;Uzbekistan;W1221
VAT;Vatican City State;XXX
VEN;Venezuela;W2213
VIR;Virgin Islands;XXX
VNM;Viet Nam;W3133
VUT;Vanuatu;XXX
WSM;Samoa;XXX
YEM;Yemen;W1222
ZAF;South Africa;W1341
ZMB;Zambia;W1342
ZWE;Zimbabwe;W1342
W1111;W1111;W111
W1112;W1112;W111
W1113;W1113;W111
W1121;W1121;W112
W1122;W1122;W112
W1123;W1123;W112
W1124;W1124;W112
W1211;W1211;W121
W1212;W1212;W121
W1221;W1221;W122
W1222;W1222;W122
W1311;W1311;W131
W1312;W1312;W131
W1321;W1321;W132
W1331;W1331;W133
W1332;W1332;W133
W1341;W1341;W134
W1342;W1342;W134
W2101;W2101;W210
W2102;W2102;W210
W2103;W2103;W210
W2212;W2212;W221
W2213;W2213;W221
W2221;W2221;W222
W2222;W2222;W222
W3111;W3111;W311
W3112;W3112;W311
W3121;W3121;W312
W3122;W3122;W312
W3133;W3133;W313
W3211;W3211;W321
W3212;W3212;W321
W3221;W3221;W322
W3222;W3222;W322
W3231;W3231;W323
W3232;W3232;W323
W111;Western Europe;W11
W112;Eastern Europe & Northern Asia;W11
W121;Southern & Eastern Mediterranea;W12
W122;Middle East & Central Asia;W12
W131;Central Africa;W13
W132;Eastern Africa;W13
W133;Western Africa;W13
W134;Southern Africa;W13
W210;Northern America;W21
W221;Central America & Carribea;W22
W222;Southern America;W22
W311;Eastern Asia;W31
W312;Southern Asia;W31
W313;South-Eastern Asia;W31
W321;Western Pacifica;W32
W322;South-Western Pacifica;W32
W323;Oceania;W32
W11;Europe & Northern Asia;W1
W12;Western Asia & Northern Africa;W1
W13;Sub-Saharain Africa;W1
W21;Northern America;W2
W22;Latin America;W2
W31;Southern and Eastern Asia;W3
W32;Western Pacifica;W3
W1;Euro-Africa;W
W2;The Americas;W
W3;Asia-Pacifica;W
XXX;Miscellaneous;W
W;World;NULL
